2026-05-27T00:02:24.133+02:00 DEBUG 13924 --- [http-nio-8081-exec-4] s.w.s.h.LoggingWebSocketHandlerDecorator : WebSocketServerSockJsSession[id=dfn5kxfa] closed with CloseStatus[code=1001, reason=null]
2026-05-27T00:02:24.147+02:00 DEBUG 13924 --- [http-nio-8081-exec-4] o.s.w.s.m.SubProtocolWebSocketHandler    : Clearing session dfn5kxfa
2026-05-27T00:02:24.149+02:00 DEBUG 13924 --- [clientInboundChannel-50] o.s.m.s.b.SimpleBrokerMessageHandler     : Processing DISCONNECT session=dfn5kxfa
2026-05-27T00:02:24.171+02:00 DEBUG 13924 --- [clientOutboundChannel-22] o.s.w.s.m.SubProtocolWebSocketHandler    : No session for GenericMessage [payload=byte[0], headers={simpMessageType=DISCONNECT_ACK, simpDisconnectMessage=GenericMessage [payload=byte[0], headers={simpMessageType=DISCONNECT, stompCommand=DISCONNECT, simpSessionAttributes={org.springframework.messaging.simp.SimpAttributes.COMPLETED=true}, simpUser=UsernamePasswordAuthenticationToken [Principal=org.springframework.security.core.userdetails.User [Username=destineetaki@gmail.com, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, CredentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[ROLE_ETUDIANT]], Credentials=[PROTECTED], Authenticated=true, Details=null, Granted Authorities=[ROLE_ETUDIANT]], simpSessionId=dfn5kxfa}], simpUser=UsernamePasswordAuthenticationToken [Principal=org.springframework.security.core.userdetails.User [Username=destineetaki@gmail.com, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, CredentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[ROLE_ETUDIANT]], Credentials=[PROTECTED], Authenticated=true, Details=null, Granted Authorities=[ROLE_ETUDIANT]], simpSessionId=dfn5kxfa}]
2026-05-27T00:02:24.195+02:00 DEBUG 13924 --- [http-nio-8081-exec-3] s.w.s.h.LoggingWebSocketHandlerDecorator : WebSocketServerSockJsSession[id=x3sqvnzj] closed with CloseStatus[code=1000, reason=null]
2026-05-27T00:02:24.201+02:00 DEBUG 13924 --- [http-nio-8081-exec-7] s.w.s.h.LoggingWebSocketHandlerDecorator : WebSocketServerSockJsSession[id=yhmtf1sv] closed with CloseStatus[code=1001, reason=null]
2026-05-27T00:02:24.214+02:00 DEBUG 13924 --- [http-nio-8081-exec-7] o.s.w.s.m.SubProtocolWebSocketHandler    : Clearing session yhmtf1sv
2026-05-27T00:02:24.211+02:00 DEBUG 13924 --- [http-nio-8081-exec-3] o.s.w.s.m.SubProtocolWebSocketHandler    : Clearing session x3sqvnzj
2026-05-27T00:02:24.237+02:00 DEBUG 13924 --- [clientInboundChannel-53] o.s.m.s.b.SimpleBrokerMessageHandler     : Processing DISCONNECT session=yhmtf1sv
2026-05-27T00:02:24.237+02:00 DEBUG 13924 --- [clientInboundChannel-56] o.s.m.s.b.SimpleBrokerMessageHandler     : Processing DISCONNECT session=x3sqvnzj
2026-05-27T00:02:24.238+02:00 DEBUG 13924 --- [clientOutboundChannel-23] o.s.w.s.m.SubProtocolWebSocketHandler    : No session for GenericMessage [payload=byte[0], headers={simpMessageType=DISCONNECT_ACK, simpDisconnectMessage=GenericMessage [payload=byte[0], headers={simpMessageType=DISCONNECT, stompCommand=DISCONNECT, simpSessionAttributes={org.springframework.messaging.simp.SimpAttributes.COMPLETED=true}, simpUser=UsernamePasswordAuthenticationToken [Principal=org.springframework.security.core.userdetails.User [Username=admin2@smartintern.ai, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, CredentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[ROLE_ADMIN]], Credentials=[PROTECTED], Authenticated=true, Details=null, Granted Authorities=[ROLE_ADMIN]], simpSessionId=yhmtf1sv}], simpUser=UsernamePasswordAuthenticationToken [Principal=org.springframework.security.core.userdetails.User [Username=admin2@smartintern.ai, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, CredentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[ROLE_ADMIN]], Credentials=[PROTECTED], Authenticated=true, Details=null, Granted Authorities=[ROLE_ADMIN]], simpSessionId=yhmtf1sv}]
2026-05-27T00:02:24.238+02:00 DEBUG 13924 --- [clientOutboundChannel-24] o.s.w.s.m.SubProtocolWebSocketHandler    : No session for GenericMessage [payload=byte[0], headers={simpMessageType=DISCONNECT_ACK, simpDisconnectMessage=GenericMessage [payload=byte[0], headers={simpMessageType=DISCONNECT, stompCommand=DISCONNECT, simpSessionAttributes={org.springframework.messaging.simp.SimpAttributes.COMPLETED=true}, simpUser=UsernamePasswordAuthenticationToken [Principal=org.springframework.security.core.userdetails.User [Username=Simon.edou@iaetunis.com, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, CredentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[ROLE_ENCADRANT_ENTREPRISE]], Credentials=[PROTECTED], Authenticated=true, Details=null, Granted Authorities=[ROLE_ENCADRANT_ENTREPRISE]], simpSessionId=x3sqvnzj}], simpUser=UsernamePasswordAuthenticationToken [Principal=org.springframework.security.core.userdetails.User [Username=Simon.edou@iaetunis.com, Password=[PROTECTED], Enabled=true, AccountNonExpired=true, CredentialsNonExpired=true, AccountNonLocked=true, Granted Authorities=[ROLE_ENCADRANT_ENTREPRISE]], Credentials=[PROTECTED], Authenticated=true, Details=null, Granted Authorities=[ROLE_ENCADRANT_ENTREPRISE]], simpSessionId=x3sqvnzj}]
